nt-t                                  6
on-que                                6
que-um                                6
r-se                                  6
r-use                                 6
ra-re-se-sit-t-te-tes-ts              6
s-tte                                 6
ser-té                                6
-il--on-NULL                          5
-é-NULL                               5
0-1-2-3-4-5-6                         5
0-1-3                                 5
0-2-7                                 5
0-3-5                                 5
0-4-7                                 5
0-4-8                                 5
0-m                                   5
0km-NULL                              5
1-2-4-5                               5
1-2-7                                 5
1-3-4                                 5
1-5-6                                 5
17-NULL                               5
2-3-6                                 5
3-4-7                                 5
3-7-8                                 5
4-5-6-7                               5
4-6-7                                 5
4-6-9                                 5
5-6-7                                 5
5-NULL                                5
NULL-a-ait-ent                        5
NULL-a-b-s                            5
NULL-a-e-es-s                         5
NULL-a-i                              5
NULL-age-s                            5
NULL-al-ale                           5
NULL-al-ale-aux                       5
NULL-am                               5
NULL-ar                               5
NULL-au-aux-s                         5
NULL-aux                              5
NULL-co                               5
NULL-der                              5
NULL-e-es-ie-s                        5
NULL-e-us                             5
NULL-i-iii                            5
NULL-ic                               5
NULL-ie-ies-s                         5
NULL-il                               5
NULL-im                               5
NULL-ja                               5
NULL-k-s                              5
NULL-km-km2                           5
NULL-l-lle-ls-nt-r                    5
NULL-lla-s                            5
NULL-lo                               5
NULL-m-mm                             5
NULL-n-ng                             5
NULL-nce-nt                           5
NULL-nel                              5
NULL-nt-r-ra-s-ur-urs                 5
NULL-nt-z                             5
NULL-né-s                             5
NULL-née-s                            5
NULL-o-s                              5
NULL-r-rie                            5
NULL-r-s-urs                          5
NULL-r-tte                            5
NULL-ra-s                             5
NULL-re-res                           5
NULL-ris                              5
NULL-s-ton                            5
NULL-s-ure                            5
NULL-s-urs                            5
NULL-sme                              5
NULL-th                               5
NULL-ués                              5
NULL-w                                5
NULL-ya                               5
a-ait-ant-e-ent-er-era-es-é-ée-ées-és 5
a-ait-ant-e-ent-er-ons-é-ée-ées-és    5
a-ait-ant-ent-er-é-ée-ées-és          5
a-ait-er                              5
a-ait-er-é-ée-ées-és                  5
a-ant-e-ent                           5
a-ant-e-er                            5
a-c                                   5
a-e-en-ens                            5
a-er-é                                5
a-et                                  5
a-ia                                  5
a-ik                                  5
a-is                                  5
a-la                                  5
a-n                                   5
a-que                                 5
a-ya                                  5
a-á                                   5
ain-e-es                              5
ais-e-es                              5
ait-ant-it                            5
al-ale-e-es                           5
al-e                                  5
ale-e                                 5
ale-e-es                              5
an-i                                  5
an-o                                  5
ant-e-er-é-ée-ées-és                  5
ant-é                                 5
ant-és                                5
as-e-es                               5
ble-nt                                5
ca-s                                  5
ce-cer-ça                             5
ce-ces-x                              5
ce-ça                                 5
ch-tch                                5
ché-que                               5
d-x                                   5
dés-ens                               5
e-er-é                                5
e-er-é-ée                             5
e-es-iat                              5
e-es-ine                              5
e-es-ois                              5
e-es-y                                5
e-es-é-ées-és                         5
e-g                                   5
e-ide                                 5
e-ie-ies                              5
e-l                                   5
e-le                                  5
end-is-ise-it                         5
ent-it                                5
ent-é                                 5
ent-é-ée-ées-és                       5
er-i-v                                5
er-ier                                5
er-ing                                5
er-ité                                5
er-ler                                5
er-re-res                             5
er-é-ée                               5
era-ère                               5
es-ie-ies                             5
es-ien                                5
es-ois                                5
es-ées                                5
est-sud                               5
eur-if-ifs-ion                        5
eur-or                                5
f-fs-on-ons-ve                        5
f-fs-ve                               5
f-on-ve                               5
ff-v                                  5
ge-ges-it                             5
ge-x                                  5
ges-in                                5
h-k                                   5
i-os                                  5
ion-ure                               5
ion-us                                5
l-les-ux                              5
la-n                                  5
le-les-on-ons                         5
ll-n                                  5
lle-n                                 5
lle-r                                 5
n-nne-ns-r                            5
n-rd                                  5
n-ri                                  5
nes-s                                 5
ng-on-ons                             5
o-ue                                  5
on-son                                5
que-te-tes                            5
r-rs-s                                5
r-ux                                  5
r-z                                   5
re-res-s                              5
re-sit-t-te-tes-ts                    5
re-ste                                5
re-t                                  5
rie-s                                 5
rs-ses                                5
s-us                                  5
se-te                                 5
se-ze                                 5
se-ïde                                5
sse-t                                 5
ste-té                                5
té-tés-x                              5

NULL-s                                15695
-ail                  01million               02million                 1/299792458           10-13                  
10-34j                10milliard              12million                 13million             15eamendement          
15milliard            1carat                  1habitant                 1milliard             1million               
1seconde              22million               23million                 25milliard            25million              
27million             29milliard              2elivre                   2eépître              2habitant              
2milliard             2million                32million                 35million             37milliard             
3enfant               3eépître                3habitant                 3heure                3milliard              
3million              3seconde                45milliard                46million             49million              
4enfant               4habitant               4litre                    4milliard             4million               
4seconde              4vol                    54million                 55milliard            58milliard             
5habitant             5milliard               5million                  5mètre                5neutron               
5point                5vol                    60eparallèle              64million             6milliard              
6million              75milliard              760torr                   76million             77milliard             
7habitant             7milliard               7million                  80million             83million              
87million             8enfant                 8milliard                 8seconde              8tonne                 
90million             94milliard              95milliard                96million             9earmée                
9million              9tonne                  9volume                   abaisseur             abaissée               
abandonnée            abasside                abattement                abbadide              abbasside              
abbaye                abbesse                 abbé                      abdication            abdominale             
abeille               aberration              abiotique                 abkhaze               ablation               
abnaki                aboiement               abolitionniste            abondante             abonnement             
abordable             abordée                 aborigène                 aboutie               aboutissement          
aboyeur               abraham                 abrasif                   abrasive              abricotier             
abritée               abrogée                 abrupte                   abrégée               abréviation            
abscisse              absence                 abside                    absolue               absolutiste            
absorbable            absorbeur               absorbée                  absorption            abstention             
abstraction           abstraite               absurde                   absurdité             abusif                 
abusive               abusé                   abyssale                  abîmée                acacia                 
académicien           académie                académique                acajou                acanthocéphale         
acarien               accablante              accaparée                 accentuation          accentuel              
accentuée             acceptable              accepteur                 acception             acceptée               
accessible            accessoire              accidentelle              accidentée            acclamation            
acclamée              acclimatée              accolade                  accolée               accompagnateur         
accompagnement        accompagnée             accomplie                 accordée              accordéon              
accouchement          accoucheur              accouplement              accrochage            accrochée              
